,GDP,CPI_U,CPIF_U,CPIE_U,CPIXFE_U,S,RS,GDP_RW_U,CPI_RW,RS_RW,D4L_CPI_TAR,WOIL_U,WFOOD_U,w_CPIF,w_CPIE,EMBI,UNEM
2002Q1,109711.1678,49.43123664,42.41111836,37.55341615,53.70136637,2280.894778,7.99444,61.59504014,70.67879359,1.733333333,6,31.42127721,56.77425103,0.228030007,0.105004931,5.52546875,15.4
2002Q2,113275.5508,50.31839112,44.24715136,38.22739954,54.29766789,2311.085495,6.09615,63.65559021,71.11434918,1.75,6,37.25086982,59.43191225,0.228030007,0.105004931,5.532461538,15.53
2002Q3,112668.0826,50.5570116,44.29537378,38.57509547,54.58421145,2634.644674,5.25,63.17749938,71.58950073,1.74,6,39.1455918,64.02618249,0.228030007,0.105004931,8.426363636,15.47
2002Q4,113554.4742,51.32138156,45.70914951,39.1029374,55.16379302,2792.533913,5.25,65.01247007,71.98546036,1.443333333,6,38.75506728,64.81944215,0.228030007,0.105004931,7.833333333,16.13
2003Q1,114304.8769,52.97081688,46.92580051,41.57753168,56.83128333,2937.818222,6.03889,62.8512086,72.81697558,1.25,5.5,44.83389402,63.74155959,0.228030007,0.105004931,6.46359375,14.07
2003Q2,116015.6859,53.76664425,47.82740571,42.58911677,57.55697788,2869.596484,6.94231,64.34302195,72.50020788,1.246666667,5.5,37.8011967,62.71993258,0.228030007,0.105004931,4.859076923,13.87
2003Q3,117198.3555,53.96870146,47.10903649,43.64150042,57.93984873,2855.191304,7.25,65.27790823,73.29212713,1.016666667,5.5,41.26342775,64.53338239,0.228030007,0.105004931,4.477575758,14.53
2003Q4,119296.3847,54.47622557,47.98414715,44.18811839,58.31554313,2842.302609,7.25,67.44921857,73.45051099,0.996666667,5.5,42.63480968,71.85732166,0.228030007,0.105004931,4.501969697,13.83
2004Q1,121369.6744,56.0717923,50.09906278,45.99533389,59.7002273,2713.223736,7.12088,65.6204219,74.08404639,1.003333333,5.5,45.79579797,81.08852291,0.228030007,0.105004931,4.074615385,14.5
2004Q2,121117.9021,56.81819414,51.05089905,47.15999508,60.31054329,2692.812418,6.75,67.54351216,74.79677372,1.01,5.5,51.45849042,74.58188374,0.228030007,0.105004931,4.637538462,14.1
2004Q3,122338.5018,57.01906146,50.78153602,47.32921273,60.67716141,2601.826196,6.75,67.99109746,75.15313739,1.433333333,5.5,59.6311639,70.66410152,0.228030007,0.105004931,4.257575758,12.87
2004Q4,126892.5802,57.30853949,50.65280215,48.34474978,60.99531424,2507.65413,6.71739,70.24665372,75.90546068,1.95,5.5,65.27236923,69.43460961,0.228030007,0.105004931,3.679242424,13.03
2005Q1,126279.0718,58.70204614,52.91811089,50.06783047,62.03887163,2354.116889,6.5,67.90201893,76.45980416,2.47,5,70.29954766,75.83823827,0.228030007,0.105004931,3.638125,12.37
2005Q2,128498.5126,59.38300496,54.21697069,50.70065921,62.5161525,2340.588242,6.5,70.10315759,76.69737994,2.943333333,5,77.32227748,72.44435978,0.228030007,0.105004931,3.740153846,11.97
2005Q3,128968.203,59.66977944,54.14923764,51.21503178,62.88829793,2308.482826,6.43478,70.84465026,78.71677404,3.46,5,90.67753009,72.00171881,0.228030007,0.105004931,2.963484848,11.73
2005Q4,131107.2127,59.93557663,54.11862557,51.45016538,63.26026265,2283.707826,6,72.56983144,78.4396023,3.98,5,84.51683317,73.96128473,0.228030007,0.105004931,2.568,11.23
2006Q1,133876.2637,61.06026142,55.69721105,52.17794389,64.29225014,2264.068,6,70.42475456,79.0731377,4.456666667,4.5,91.7021567,76.90567317,0.228030007,0.105004931,1.853538462,11.53
2006Q2,135915.2079,61.69680549,56.73206764,52.62255314,64.82283197,2431.855604,6.19231,72.72592301,79.90465292,4.906666667,4.5,102.9838577,76.41894347,0.228030007,0.105004931,1.984923077,11.47
