,T_UNEM,T_VAC
15Q1,10.16534555,2.276167257
15Q2,9.154228436,2.388231982
15Q3,9.198436475,2.769310782
15Q4,8.274127477,5.251721962
16Q1,11.00658468,5.48676537
16Q2,9.249051476,5.622419568
16Q3,9.426876482,5.526954182
16Q4,8.499001009,5.167748113
17Q1,10.91290474,5.618276264
17Q2,9.314726878,5.151780703
17Q3,9.667462721,6.070412321
17Q4,8.805289673,6.511005927
18Q1,11.03225746,6.503948651
18Q2,9.671858212,6.806826105
18Q3,9.713217415,7.014074547
18Q4,9.451752213,6.375002826
19Q1,12.1150658,6.471203563
19Q2,10.44087349,6.24544757
19Q3,11.09232671,7.291903897
19Q4,9.897671779,6.328971363
20Q1,13.1500127,6.281165317
20Q2,20.93989273,2.460553584
20Q3,18.17389514,3.979008256
20Q4,14.37378918,4.367576373
21Q1,15.94748448,5.106998702
21Q2,15.11226927,5.433613235
21Q3,12.62743564,7.223457047
21Q4,11.54023087,8.411598659
22Q1,13.21543578,8.603639228
22Q2,11.02572771,8.51653632
22Q3,10.78933846,9.620145191
22Q4,5.8571677,8.835604079
