,NAIRU,OBS_UNEM
comment,NAIRU,Tasa de desempleo observada
2020M1,9.6,11.2
2020M2,9.6,11.6
2020M3,9.6,12.8
2020M4,9.6,20.7
2020M5,9.6,21.9
2020M6,9.6,20.8
2020M7,9.6,20.6
2020M8,9.6,17.4
2020M9,9.6,16.7
2020M10,9.6,16.2
2020M11,9.6,15.3
2020M12,9.6,15
2021M1,9.6,15.2
2021M2,9.6,14.4
2021M3,9.6,14.3
2021M4,9.6,15.7
2021M5,9.6,15.2
2021M6,9.6,15
2021M7,9.6,12.8
2021M8,9.6,12.8
2021M9,9.6,12.4
2021M10,9.6,12.8
2021M11,9.6,12.9
2021M12,9.6,12.2
2022M1,9.6,12.4
2022M2,9.6,11.8
2022M3,9.6,11.7
2022M4,9.6,11.3
2022M5,9.6,10.6
2022M6,9.6,11.6
2022M7,9.6,10.7
2022M8,9.6,10.5
2022M9,9.6,11.1
2022M10,9.6,10.5
2022M11,9.6,10.8
